Date : 2022-06-02 21:52:32
Directory : d:\Git Repos\ics4-final-project-ibihaqs\src\main\java\engine
Total : 105 files,  -781 codes, 644 comments, -274 blanks, all -411 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| GLSL     |          3 |        -75 |          0 |        -29 |       -104 |
| XML      |          1 |        -90 |          0 |         -7 |        -97 |
| Java     |        101 |       -616 |        644 |       -238 |       -210 |
+----------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                  | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                     |        105 |       -781 |        644 |       -274 |       -411 |
| ..                                                                                                    |         67 |     -2,897 |       -984 |     -1,203 |     -5,084 |
| ..\..                                                                                                 |         67 |     -2,897 |       -984 |     -1,203 |     -5,084 |
| ..\..\..                                                                                              |         67 |     -2,897 |       -984 |     -1,203 |     -5,084 |
| ..\..\..\..                                                                                           |         67 |     -2,897 |       -984 |     -1,203 |     -5,084 |
| ..\..\..\..\..                                                                                        |         67 |     -2,897 |       -984 |     -1,203 |     -5,084 |
| ..\..\..\..\..\..                                                                                     |         67 |     -2,897 |       -984 |     -1,203 |     -5,084 |
| ..\..\..\..\..\..\GitRepos                                                                            |         67 |     -2,897 |       -984 |     -1,203 |     -5,084 |
| ..\..\..\..\..\..\GitRepos\ics4-final-project-ibihaqs                                                 |         67 |     -2,897 |       -984 |     -1,203 |     -5,084 |
| ..\..\..\..\..\..\GitRepos\ics4-final-project-ibihaqs\assets                                          |          3 |        -75 |          0 |        -29 |       -104 |
| ..\..\..\..\..\..\GitRepos\ics4-final-project-ibihaqs\assets\shaders                                  |          3 |        -75 |          0 |        -29 |       -104 |
| ..\..\..\..\..\..\GitRepos\ics4-final-project-ibihaqs\src                                             |         63 |     -2,732 |       -984 |     -1,167 |     -4,883 |
| ..\..\..\..\..\..\GitRepos\ics4-final-project-ibihaqs\src\main                                        |         63 |     -2,732 |       -984 |     -1,167 |     -4,883 |
| ..\..\..\..\..\..\GitRepos\ics4-final-project-ibihaqs\src\main\java                                   |         63 |     -2,732 |       -984 |     -1,167 |     -4,883 |
| ..\..\..\..\..\..\GitRepos\ics4-final-project-ibihaqs\src\main\java\engine                            |         43 |     -2,242 |       -755 |       -919 |     -3,916 |
| ..\..\..\..\..\..\GitRepos\ics4-final-project-ibihaqs\src\main\java\engine\Inputs                     |          5 |       -419 |       -294 |        -98 |       -811 |
| ..\..\..\..\..\..\GitRepos\ics4-final-project-ibihaqs\src\main\java\engine\components                 |         10 |       -399 |        -40 |       -166 |       -605 |
| ..\..\..\..\..\..\GitRepos\ics4-final-project-ibihaqs\src\main\java\engine\events                     |          2 |        -33 |         -4 |        -18 |        -55 |
| ..\..\..\..\..\..\GitRepos\ics4-final-project-ibihaqs\src\main\java\engine\gameobjects                |          1 |        -80 |        -59 |        -20 |       -159 |
| ..\..\..\..\..\..\GitRepos\ics4-final-project-ibihaqs\src\main\java\engine\geometry                   |          2 |        -72 |        -50 |        -54 |       -176 |
| ..\..\..\..\..\..\GitRepos\ics4-final-project-ibihaqs\src\main\java\engine\physics                    |          2 |       -136 |       -104 |       -120 |       -360 |
| ..\..\..\..\..\..\GitRepos\ics4-final-project-ibihaqs\src\main\java\engine\renderer                   |         14 |       -810 |       -140 |       -290 |     -1,240 |
| ..\..\..\..\..\..\GitRepos\ics4-final-project-ibihaqs\src\main\java\engine\scenes                     |          2 |        -96 |         -6 |        -30 |       -132 |
| ..\..\..\..\..\..\GitRepos\ics4-final-project-ibihaqs\src\main\java\engine\serializer                 |          1 |        -52 |        -11 |        -53 |       -116 |
| ..\..\..\..\..\..\GitRepos\ics4-final-project-ibihaqs\src\main\java\engine\util                       |          1 |         -6 |        -11 |         -4 |        -21 |
| ..\..\..\..\..\..\GitRepos\ics4-final-project-ibihaqs\src\main\java\nebula                            |          4 |       -167 |        -12 |        -61 |       -240 |
| ..\..\..\..\..\..\GitRepos\ics4-final-project-ibihaqs\src\main\java\pocketplanets                     |         16 |       -323 |       -217 |       -187 |       -727 |
| ..\..\..\..\..\..\GitRepos\ics4-final-project-ibihaqs\src\main\java\pocketplanets\buildings           |          5 |        -69 |        -12 |        -39 |       -120 |
| ..\..\..\..\..\..\GitRepos\ics4-final-project-ibihaqs\src\main\java\pocketplanets\ships               |          4 |        -90 |        -70 |        -61 |       -221 |
| ..\..\..\..\..\..\GitRepos\ics4-final-project-ibihaqs\src\main\java\pocketplanets\testing             |          5 |       -116 |       -134 |        -69 |       -319 |
| Inputs                                                                                                |          5 |        419 |        294 |         98 |        811 |
| components                                                                                            |          7 |        394 |        329 |        180 |        903 |
| events                                                                                                |          2 |          0 |         37 |         18 |         55 |
| gameobjects                                                                                           |          1 |         80 |         88 |         22 |        190 |
| geometry                                                                                              |          2 |         72 |         50 |         54 |        176 |
| physics                                                                                               |          2 |        173 |        136 |        147 |        456 |
| renderer                                                                                              |         12 |        682 |        504 |        247 |      1,433 |
| scenes                                                                                                |          2 |         98 |         93 |         31 |        222 |
| serializer                                                                                            |          1 |         53 |         17 |         52 |        122 |
| util                                                                                                  |          1 |          6 |         11 |          4 |         21 |
+-------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                              | language | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| d:\Git Repos\ics4-final-project-ibihaqs\src\main\java\engine\AssetManager.java                        | Java     |         23 |         21 |         11 |         55 |
| d:\Git Repos\ics4-final-project-ibihaqs\src\main\java\engine\Inputs\ButtonState.java                  | Java     |         28 |         34 |         13 |         75 |
| d:\Git Repos\ics4-final-project-ibihaqs\src\main\java\engine\Inputs\Input.java                        | Java     |        228 |         74 |         33 |        335 |
| d:\Git Repos\ics4-final-project-ibihaqs\src\main\java\engine\Inputs\InputAxis.java                    | Java     |         79 |         86 |         17 |        182 |
| d:\Git Repos\ics4-final-project-ibihaqs\src\main\java\engine\Inputs\KeyListener.java                  | Java     |         27 |         45 |         10 |         82 |
| d:\Git Repos\ics4-final-project-ibihaqs\src\main\java\engine\Inputs\MouseListener.java                | Java     |         57 |         55 |         25 |        137 |
| d:\Git Repos\ics4-final-project-ibihaqs\src\main\java\engine\Main.java                                | Java     |         15 |          0 |         10 |         25 |
| d:\Git Repos\ics4-final-project-ibihaqs\src\main\java\engine\Window.java                              | Java     |        101 |         48 |         55 |        204 |
| d:\Git Repos\ics4-final-project-ibihaqs\src\main\java\engine\components\Component.java                | Java     |         11 |         39 |         12 |         62 |
| d:\Git Repos\ics4-final-project-ibihaqs\src\main\java\engine\components\KeyboardControl.java          | Java     |         15 |          2 |          8 |         25 |
| d:\Git Repos\ics4-final-project-ibihaqs\src\main\java\engine\components\LineRenderer.java             | Java     |        109 |         68 |         45 |        222 |
| d:\Git Repos\ics4-final-project-ibihaqs\src\main\java\engine\components\PanelRenderer.java            | Java     |          0 |         65 |         24 |         89 |
| d:\Git Repos\ics4-final-project-ibihaqs\src\main\java\engine\components\Renderable.java               | Java     |         40 |         36 |         18 |         94 |
| d:\Git Repos\ics4-final-project-ibihaqs\src\main\java\engine\components\SpriteRenderer.java           | Java     |         53 |         21 |         20 |         94 |
| d:\Git Repos\ics4-final-project-ibihaqs\src\main\java\engine\components\Transform.java                | Java     |        166 |         98 |         53 |        317 |
| d:\Git Repos\ics4-final-project-ibihaqs\src\main\java\engine\events\EventListener.java                | Java     |          0 |          3 |          3 |          6 |
| d:\Git Repos\ics4-final-project-ibihaqs\src\main\java\engine\events\EventTrigger.java                 | Java     |          0 |         34 |         15 |         49 |
| d:\Git Repos\ics4-final-project-ibihaqs\src\main\java\engine\gameobjects\GameObject.java              | Java     |         80 |         88 |         22 |        190 |
| d:\Git Repos\ics4-final-project-ibihaqs\src\main\java\engine\geometry\Circle.java                     | Java     |         25 |         28 |         29 |         82 |
| d:\Git Repos\ics4-final-project-ibihaqs\src\main\java\engine\geometry\Quad.java                       | Java     |         47 |         22 |         25 |         94 |
| d:\Git Repos\ics4-final-project-ibihaqs\src\main\java\engine\physics\Collision.java                   | Java     |        116 |         97 |         94 |        307 |
| d:\Git Repos\ics4-final-project-ibihaqs\src\main\java\engine\physics\Move.java                        | Java     |         57 |         39 |         53 |        149 |
| d:\Git Repos\ics4-final-project-ibihaqs\src\main\java\engine\renderer\Camera.java                     | Java     |         47 |         20 |         18 |         85 |
| d:\Git Repos\ics4-final-project-ibihaqs\src\main\java\engine\renderer\Color.java                      | Java     |         51 |         64 |         20 |        135 |
| d:\Git Repos\ics4-final-project-ibihaqs\src\main\java\engine\renderer\EBOFormat.java                  | Java     |         46 |         37 |         15 |         98 |
| d:\Git Repos\ics4-final-project-ibihaqs\src\main\java\engine\renderer\Layer.java                      | Java     |         27 |         15 |          9 |         51 |
| d:\Git Repos\ics4-final-project-ibihaqs\src\main\java\engine\renderer\RenderBatch.java                | Java     |         93 |         59 |         38 |        190 |
| d:\Git Repos\ics4-final-project-ibihaqs\src\main\java\engine\renderer\Renderer.java                   | Java     |         53 |         46 |         20 |        119 |
| d:\Git Repos\ics4-final-project-ibihaqs\src\main\java\engine\renderer\Shader.java                     | Java     |        150 |         70 |         42 |        262 |
| d:\Git Repos\ics4-final-project-ibihaqs\src\main\java\engine\renderer\Sprite.java                     | Java     |         10 |         17 |          5 |         32 |
| d:\Git Repos\ics4-final-project-ibihaqs\src\main\java\engine\renderer\SpriteMap.java                  | Java     |         27 |         29 |         11 |         67 |
| d:\Git Repos\ics4-final-project-ibihaqs\src\main\java\engine\renderer\Texture.java                    | Java     |         74 |         74 |         32 |        180 |
| d:\Git Repos\ics4-final-project-ibihaqs\src\main\java\engine\renderer\VAO.java                        | Java     |         75 |         47 |         22 |        144 |
| d:\Git Repos\ics4-final-project-ibihaqs\src\main\java\engine\renderer\VBO.java                        | Java     |         29 |         26 |         15 |         70 |
| d:\Git Repos\ics4-final-project-ibihaqs\src\main\java\engine\scenes\Scene.java                        | Java     |         44 |         45 |         13 |        102 |
| d:\Git Repos\ics4-final-project-ibihaqs\src\main\java\engine\scenes\SceneManager.java                 | Java     |         54 |         48 |         18 |        120 |
